package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.musicsearch.shared.feature.collections.add.AddToCollectionPresenter.present,present,1,0,0,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.collections.add.AddToCollectionUi,AddToCollectionUi,1,1,1,0,0,0,0,0,2,3,
ly.david.musicsearch.shared.feature.collections.components.CollectionBottomSheetContent,CollectionBottomSheetContent,1,1,1,0,0,0,0,0,1,4,
ly.david.musicsearch.shared.feature.collections.components.CollectionListItem,CollectionListItem,1,0,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.create.CreateNewCollectionDialogContent,CreateNewCollectionDialogContent,1,1,1,0,0,0,0,0,1,6,
ly.david.musicsearch.shared.feature.collections.list.CollectionList,CollectionList,1,1,1,0,0,0,0,0,2,6,
ly.david.musicsearch.shared.feature.collections.list.CollectionList,CollectionList,1,1,1,0,0,0,0,0,1,3,
ly.david.musicsearch.shared.feature.collections.list.CollectionListPresenter.present,present,1,0,0,0,0,0,0,0,1,5,
ly.david.musicsearch.shared.feature.collections.list.CollectionSortBottomSheet,CollectionSortBottomSheet,1,1,1,0,0,0,1,0,2,2,
ly.david.musicsearch.shared.feature.collections.list.CollectionSortBottomSheetContent,CollectionSortBottomSheetContent,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.collections.list.CollectionsFilterChipsBar,CollectionsFilterChipsBar,1,1,1,0,0,0,0,0,1,3,
ly.david.musicsearch.shared.feature.collections.single.CollectionPresenter.present,present,1,0,0,0,0,0,0,0,1,13,
ly.david.musicsearch.shared.feature.collections.single.CollectionUi,CollectionUi,1,1,1,0,0,0,0,0,2,3,
ly.david.musicsearch.shared.feature.collections.single.CollectionUi,CollectionUi,1,1,1,0,0,0,0,0,8,8,
ly.david.musicsearch.shared.feature.collections.single.CollectionUi,CollectionUi,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.components.PreviewCollectionBottomSheet,PreviewCollectionBottomSheet,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.components.PreviewCollectionListItem,PreviewCollectionListItem,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.components.PreviewCreateNewCollectionDialogContent,PreviewCreateNewCollectionDialogContent,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.list.PreviewCollectionList,PreviewCollectionList,1,1,1,0,0,0,0,0,1,1,
